mz_rt,b1,b3,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
316.2608_0.679,11129.610106336464,9365.40057602162,0.8414850553200943,7.97e-4,-0.24899044520622418,3.0985416786038877,316.2608,0.679,11207.164,316.2608_0.679,316.2608_0.679,1
330.2637_0.689,13013.249461163436,11069.19426238606,0.850609549553385,0.0209,-0.2334310431026475,1.679853713888946,330.2637,0.689,12511.971,330.2637_0.689,330.2637_0.689,1
332.243_0.64,12333.060128137626,9797.815892444652,0.7944351029385752,0.00666,-0.3319987236367181,2.176525770829699,332.243,0.64,11428.331,332.243_0.64,332.243_0.64,1
337.1048_1.268,1033.6673808444118,2111.231126636248,2.042466624913292,0.0275,1.0303125040916534,1.5606673061697374,337.1048,1.268,1313.206,Cluster_337.1048_1.268,315.1224_1.279;337.1048_1.268,2
342.2638_0.69,55908.63193582942,44581.14692405296,0.7973929137672717,0.0267,-0.32663731036757065,1.5734887386354248,342.2638,0.69,51591.3,342.2638_0.69,342.2638_0.69,1
344.2792_0.693,12644.268266572344,9951.333483411108,0.7870232799251382,0.0237,-0.34552178401379435,1.6252516539898962,344.2792,0.693,12229.547,344.2792_0.693,344.2792_0.693,1
344.2793_0.927,13980.06243916318,10065.463837390262,0.7199870444922534,0.00218,-0.47395714807538397,2.661543506395395,344.2793,0.927,12187.593,344.2793_0.927,344.2793_0.927,1
373.2483_1.147,6538.726411928288,24374.017389419976,3.7276398879383628,1.34e-4,1.898262493849595,3.8728952016351923,373.2483,1.147,17659.41,373.2483_1.147,373.2483_1.147,1
428.3732_2.759,28346.97967352383,24244.202691691393,0.8552658156500375,0.0158,-0.225555217205023,1.8013429130455774,428.3732,2.759,25670.871,428.3732_2.759,428.3732_2.759,1
438.2976_3.525,17355.910176199635,20553.77267919184,1.1842520772766771,0.033,0.24397620252866414,1.4814860601221125,438.2976,3.525,18953.723,438.2976_3.525,438.2976_3.525,1
464.1914_0.656,3457.7145145315976,9571.270418611271,2.7680915756308044,4.37e-4,1.4688916718485678,3.359518563029578,464.1914,0.656,5211.399,464.1914_0.656,464.1914_0.656,1
